274,570
281,624
292,677
305,730
324,780
355,820
397,850
446,874
501,880
550,870
592,842
627,807
653,764
668,716
675,666
683,616
682,565
322,535
349,504
390,495
432,504
465,528
514,525
546,499
584,488
624,496
646,527
493,561
495,603
498,644
500,686
456,706
477,714
500,720
520,713
539,705
372,561
393,547
418,548
438,566
417,570
392,569
542,562
563,545
587,543
604,558
588,565
565,567
433,760
463,760
483,757
500,762
516,757
533,758
556,758
532,741
515,739
499,741
483,740
464,744
445,759
483,773
501,776
517,772
545,757
514,726
498,727
483,726
1,1
898,1
449,1
1,1598
1,799
449,1598
898,1598
898,799
